ActuatorSN,aps_strokeMax_um,sph_S2_OOVreg,sph_S2_gain,sph_S1_OOVreg,sph_S1_gain,sph_strokecenter_x_sensor_offset_lsb,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,sph_strokecenter_y_sensor_offset_lsb,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2
UC4D275001WG00A5003+01DE05916+5,353.88665,80,44.8,82,44.8,196.1692353,1.47E-14,0.351983101,8.43E-05,2.33E-08,192.2797612,-7.27E-15,0.349537398,8.42E-05,2.51E-08,132.684228,-0.15406598,0.001721798,184.6274312,-0.114764786,0.001656985
UC4D275001WJ00A5003+01DE05918+5,373.75663,80,42.294,84,44.8,185.9315007,-6.27E-15,0.379080005,9.69E-05,2.92E-08,188.5481353,-6.08E-15,0.340679832,7.80E-05,2.22E-08,104.5525973,-0.027143437,0.001807157,219.4714881,0.106972323,0.001525161
UC4D2750023S00A5003+01DE03508+5,370.14289,83,42.294,83,44.8,193.5164359,-2.16E-14,0.357823729,8.83E-05,2.63E-08,206.9167174,-1.15E-14,0.34427651,8.41E-05,2.40E-08,125.9537352,-0.090837781,0.00173628,198.9174738,-0.103596418,0.001638837
UC4D2750023T00A5003+01DE03509+5,372.098545,85,39.928,86,42.294,184.5685835,-8.91E-15,0.373677082,9.65E-05,3.01E-08,189.3905026,7.74E-15,0.357625813,8.53E-05,2.26E-08,112.7870877,-0.036807388,0.001636656,186.0836471,0.04572584,0.001508455
UC4D2750023V00A5003+01DE03511+5,368.96626,87,39.928,86,42.294,186.0267839,2.61E-14,0.365600231,9.12E-05,2.67E-08,188.7981017,1.72E-14,0.355276986,8.62E-05,2.54E-08,141.185145,0.041515257,0.001583794,158.4106681,0.014270392,0.001617009
UC4D275001S000A5003+01DE01124+5,368.603105,85,42.294,88,42.294,191.776137,-1.84E-14,0.358538402,8.60E-05,2.44E-08,196.7499375,1.30E-15,0.345566986,8.11E-05,2.29E-08,62.64591594,-0.146745655,0.001773859,135.2328042,-0.076581978,0.001677508
UC4D275001S400A5003+01DE01128+5,369.417815,79,44.8,84,42.294,188.3008942,1.10E-14,0.355707946,8.67E-05,2.55E-08,188.8473446,-2.22E-16,0.357851081,9.32E-05,2.97E-08,117.8253848,-0.106582045,0.001676051,164.4282442,-0.070287442,0.001685625
UC4D2750023P00A5003+01DE03505+5,377.888875,84,42.294,86,42.294,186.4593458,-8.47E-15,0.355999601,8.39E-05,2.46E-08,183.7690182,-1.73E-14,0.351986926,8.35E-05,2.50E-08,163.3533874,-0.124877534,0.001675242,176.7011847,-0.006140608,0.001709
UC4D2750023R00A5003+01DE03507+5,375.24149,86,39.928,82,44.8,185.5719621,5.02E-15,0.367767261,9.28E-05,2.83E-08,188.8058724,-2.18E-14,0.348623888,8.34E-05,2.47E-08,175.8298612,-0.000784036,0.001669848,133.7771716,-0.007685194,0.001634149
UC4D275002R100A5003+01DE00527+5,362.81544,82,44.8,83,44.8,195.0620022,1.67E-15,0.344601471,8.06E-05,2.29E-08,198.7585378,-7.36E-15,0.349166539,8.65E-05,2.42E-08,138.7100769,0.003319252,0.001690981,180.8383777,0.037169434,0.001717177
UC4D275002R300A5003+01DE00529+5,360.738235,82,42.294,82,44.8,190.4861289,-3.19E-15,0.367035517,9.13E-05,2.68E-08,188.7322993,-2.11E-14,0.352235429,8.40E-05,2.53E-08,127.1856059,0.007940837,0.001627251,163.5051814,0.090655461,0.001615272
UC4D275001J500A5003+01DE00513+5,368.034355,76,44.8,86,39.928,179.998952,-6.83E-15,0.37668453,9.62E-05,2.69E-08,191.2313472,4.30E-15,0.379295858,9.81E-05,2.99E-08,146.4590849,-0.213245609,0.001498461,192.8690715,-0.201167343,0.00156098
UC4D275001J700A5003+01DE00515+5,369.77395,88,39.928,83,42.294,179.4604855,5.80E-15,0.3627213,8.88E-05,2.52E-08,181.8985131,9.49E-15,0.367149139,9.34E-05,2.95E-08,137.4787767,-0.263499346,0.001632143,156.6482385,-0.231235353,0.001644811
UC4D275001WC00A5003+01DE05912+5,378.051765,79,44.8,85,44.8,193.7307345,-1.75E-14,0.359195186,8.70E-05,2.43E-08,188.235374,4.77E-15,0.338326997,7.67E-05,2.13E-08,109.4349171,-0.043136821,0.001825663,114.2849445,-0.054236919,0.001752674
UC4D275001WF00A5003+01DE05915+5,369.273385,81,44.8,79,47.455,195.0973555,3.14E-15,0.351310633,8.51E-05,2.50E-08,195.2328425,-1.63E-14,0.344316318,8.39E-05,2.50E-08,128.9566612,0.061694077,0.001715189,137.0417815,0.147985173,0.001696477
UC4D2750000N00A5003+01DE05422+5,368.991285,87,39.928,91,39.928,176.6111909,-1.05E-14,0.364777164,8.86E-05,2.47E-08,181.6018899,1.43E-14,0.349772958,8.41E-05,2.53E-08,83.94761572,-0.133774359,0.001739452,152.5893144,0.010442718,0.001625312
UC4D275001WK00A5003+01DE05919+5,366.861755,82,44.8,85,42.294,192.3689506,-4.88E-15,0.344104938,7.81E-05,2.11E-08,179.3157657,4.83E-15,0.35512425,8.21E-05,2.22E-08,150.3028347,-0.061920317,0.001663201,167.7769166,-0.161987083,0.001718132
