GlobalTime,time,station,site,moduleConfig,SWversion,lotNum,Barcode,UniqueID,ActuatorSN,sph_S1_OOVreg,sph_S2_OOVreg,sph_S1_gain,sph_S2_gain,sph_strokecenter_y_sensor_offset_lsb,sph_strokecenter_x_sensor_offset_lsb,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,aps_strokeMax_um,
T20230520015921,2023-05-20 01:59:51.536,CLT-00001T01,2,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5G03A,LG5D172008WYVR31040+L1AE03212+0,0x000000D32FC12094,LG5D172008WYVR31040+L1AE03212+0,78,82,47.454999999999998,42.293999999999997,184.03424109128699,192.511663343088,35.120221366714681,-0.18642574276712592,0.0017229160739337765,164.7882562028262,-0.10481935287896688,0.0016414171606996643,7.90756349289268e-14,0.35255311197199901,8.4714766829843197e-05,2.33558617486335e-08,1.4940826353893001e-13,0.366814041198532,9.0245746167481604e-05,2.44961298312081e-08,382.22509464653098,
T20230520015818,2023-05-20 01:58:47.968,CLT-00001T01,1,A3104,Mine_A_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5G03A,LG5D172008X6VR31040+L1AE03220+0,0x000000DA1FC52090,LG5D172008X6VR31040+L1AE03220+0,75,79,50.265999999999998,44.799999999999997,188.13865130201401,197.19961818035799,131.08378820623145,-0.13755182714636499,0.0015619077940881416,175.02608107654189,0.027613813639929818,0.0016979275057340164,1.45716771982052e-13,0.34421637410094502,8.1581873679882798e-05,2.2233445730754399e-08,-1.5404344466674e-14,0.359766955172101,8.7526559830836299e-05,2.3748172621663401e-08,383.11923120469498,
T20230520015354,2023-05-20 01:54:24.119,CLT-00001T01,2,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5G03A,LG5D172008XAVR31040+L1AE03224+0,0x000000D21FC16098,LG5D172008XAVR31040+L1AE03224+0,78,78,47.454999999999998,44.799999999999997,181.49744752320399,193.92244955658899,149.31172355402856,-0.16490591802670806,0.0015856207347454021,213.4407619168426,-0.00289098455946174,0.00161486635041478,-1.26565424807268e-14,0.34842744268381098,8.2830885639204299e-05,2.40358549916065e-08,3.1891156382357603e-14,0.36300999519655802,8.8288192196058106e-05,2.4543007577807299e-08,389.10603476368698,
T20230520015446,2023-05-20 01:55:15.957,CLT-00001T03,6,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5G03A,LG5D172008XCVR31040+L1AE03226+0,0x000000D20FC12098,LG5D172008XCVR31040+L1AE03226+0,79,78,47.454999999999998,44.799999999999997,181.005068374312,191.485759287664,121.99817251370098,-0.13886736719802878,0.0016784883597852406,201.63857734050501,0.039341584980078559,0.0016772181201997216,-2.5729418595688e-14,0.34477172414205998,8.0623557436393503e-05,2.2266625032923399e-08,3.3584246494911001e-15,0.36094736005997002,8.6685875746864702e-05,2.3532744829416899e-08,387.45798777868902,
T20230520015349,2023-05-20 01:54:19.839,CLT-00001T01,1,A3104,Mine_A_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5G03A,LG5D172008XEVR31040+L1AE03228+0,0x000000DA1FC16090,LG5D172008XEVR31040+L1AE03228+0,78,75,47.454999999999998,44.799999999999997,187.66551452348301,186.98456618376599,108.17741183057004,-0.045226362857932328,0.001648017295526077,173.77283743307595,0.056197635676677932,0.0015753713609838831,1.08690834110803e-13,0.34804527827257098,8.2564296472489493e-05,2.2654458047228399e-08,-1.2953527139813999e-13,0.37875141786732103,9.6316437515675996e-05,2.7280293712192499e-08,386.823582701406,
T20230512152209,2023-05-12 15:22:39.066,CLT-00001T03,5,A3104,Mine_A_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5A08A,LG5D172008XFVR31040+L1AE03229+0,0x000000DA1FC56090,LG5D172008XFVR31040+L1AE03229+0,79,81,44.799999999999997,42.293999999999997,180.831722034168,193.59660693117601,61.721548209437472,-0.48619962648710918,0.0016384390312670089,162.47140254473001,-0.10553387089419983,0.0015384231037856148,-1.59566804214251e-13,0.36581377873698501,9.1194352880542598e-05,2.5827495757958101e-08,-1.15102372078013e-13,0.36918211707214899,9.1237340330848404e-05,2.3919944089061101e-08,386.41549682211399,
T20230512152226,2023-05-12 15:22:56.542,CLT-00001T04,8,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5A08A,LG5D172008XJVR31040+L1AE03232+0,0x000000D31FC16098,LG5D172008XJVR31040+L1AE03232+0,80,80,44.799999999999997,42.293999999999997,183.98108697752301,190.70902702736501,95.184114705595931,-0.23064197157719973,0.0015815186360840041,202.07584637144015,-0.16679651892362943,0.0014724267976258987,-1.69309011255336e-15,0.36331454468659602,8.9198745941873004e-05,2.5473127907374602e-08,-1.10050857315969e-13,0.37545743601952403,9.3483974682992898e-05,2.40982305830562e-08,390.21376089797701,
T20230514151416,2023-05-14 15:14:46.510,CLT-00001T01,2,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E01A,LG5D172008YKVR31040+L1AE01503+0,0x0000005EA646A192,LG5D172008YKVR31040+L1AE01503+0,74,80,47.454999999999998,42.293999999999997,184.705121812681,184.75475486787201,165.81729355337978,-0.21648916075645419,0.0014735359916614918,238.70747759042021,-0.079916772857461932,0.0014359026562685039,-1.2245759961615499e-13,0.36631746300394902,9.1052792869340002e-05,2.74595363010673e-08,-1.0347278589506501e-13,0.37216756606041501,9.2096015372181102e-05,2.4184144584293501e-08,386.32214246023699,
T20230514151427,2023-05-14 15:14:57.204,CLT-00001T02,4,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E01A,LG5D172008YLVR31040+L1AE01504+0,0x0000005FA642E196,LG5D172008YLVR31040+L1AE01504+0,78,80,47.454999999999998,44.799999999999997,185.520352999235,196.37970798549901,106.8816387713405,-0.099170079513160023,0.0016069806275561919,260.52784440775417,-0.16027548622465027,0.0015121082493836306,9.7838404045091895e-14,0.35318154096591398,8.3232201178510596e-05,2.22080953262356e-08,-5.0348614166750799e-14,0.35292993541319201,8.37287289050223e-05,2.1775440947283601e-08,387.85364375305198,
T20230514151443,2023-05-14 15:15:12.793,CLT-00001T04,8,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E01A,LG5D172008YNVR31040+L1AE01506+0,0x00000056A646E19A,LG5D172008YNVR31040+L1AE01506+0,76,78,47.454999999999998,44.799999999999997,183.923608113265,190.97462438729499,75.807057707174607,-0.21532293834329239,0.0015352222531337244,195.54896711763541,-0.22230106924746104,0.0015649650677592869,-1.81576975677444e-13,0.36246999975389899,8.9014438891639406e-05,2.5335653414375001e-08,-7.5717210279435701e-14,0.36558938591193102,8.8425825321122704e-05,2.2822927858076498e-08,388.66165749790702,
