ActuatorSN,aps_strokeMax_um,sph_S2_OOVreg,sph_S2_gain,sph_S1_OOVreg,sph_S1_gain,sph_strokecenter_x_sensor_offset_lsb,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,sph_strokecenter_y_sensor_offset_lsb,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2
UC4D2630020B00A5002+01AA06719+5,379.4258,77,44.8,87,42.294,182.0030361,1.97E-14,0.36760836,9.17E-05,2.67E-08,182.5775265,9.41E-15,0.351177111,8.28E-05,2.37E-08,125.4905692,-0.261894291,0.00179969,201.922161,-0.016719348,0.001609718
UC4D2630020K00A5002+01AA06727+5,375.866465,80,42.294,81,44.8,174.5083185,4.64E-15,0.375516421,9.56E-05,2.80E-08,185.7783986,1.69E-15,0.353521746,8.44E-05,2.37E-08,218.1848458,-0.149613506,0.001620976,186.9857197,-0.040859644,0.001567796
UC4D2630020M00A5002+01AA06729+5,373.71087,79,44.8,83,42.294,178.5388938,-1.19E-14,0.356545944,8.75E-05,2.54E-08,185.2176109,-2.82E-14,0.359519893,9.19E-05,2.95E-08,140.1235746,-0.180803168,0.001677466,138.0291892,0.001222521,0.001735469
UC4D2630022600A5002+01AA11518+5,376.35715,78,44.8,88,42.294,183.7038504,7.85E-15,0.359592069,8.99E-05,2.68E-08,193.2796946,-6.05E-15,0.345797604,8.52E-05,2.53E-08,120.299505,-0.15317434,0.001734038,198.7462779,-0.029436224,0.001635343
UC4D2630022C00A5002+01AA11524+5,381.68663,77,44.8,83,42.294,183.0361083,6.30E-15,0.367714157,9.06E-05,2.50E-08,185.2637913,-1.87E-14,0.364328019,9.00E-05,2.72E-08,165.6685055,-0.014671075,0.001662147,147.0588261,-0.072032059,0.00171669
UC4D2630022Q00A5002+01AA04704+5,384.24542,76,44.8,83,42.294,176.9766625,2.78E-17,0.372013885,9.54E-05,2.97E-08,197.5759532,9.38E-15,0.366466633,9.73E-05,3.08E-08,138.310612,-0.105744532,0.001568099,164.9081995,-0.007617922,0.001572402
UC4D2630023E00A5002+01AA04728+5,374.522265,75,47.455,87,39.928,176.1617391,-2.41E-14,0.35618095,8.49E-05,2.29E-08,183.7515292,2.03E-15,0.371261954,9.51E-05,2.93E-08,173.7686647,-0.097478809,0.001573006,164.940934,-0.116445245,0.00174176
UC4D2630023M00A5002+01AA08203+5,370.92185,79,44.8,80,44.8,178.8658316,4.33E-15,0.356352211,8.74E-05,2.48E-08,188.8653055,-1.94E-15,0.350024259,8.91E-05,2.74E-08,186.7909728,-0.046908035,0.001664966,203.8129642,-0.011611485,0.001621701
UC4D2630024900A5002+01AA08225+5,379.567435,82,44.8,84,42.294,182.1774714,-5.91E-15,0.345862026,8.09E-05,2.21E-08,177.0927144,1.67E-15,0.359333244,8.85E-05,2.83E-08,103.3221399,-0.093982767,0.001689348,133.5960276,-0.099549369,0.001754032
UC4D2630024B00A5002+01AA08227+5,379.163525,78,44.8,85,42.294,185.7358661,-1.68E-14,0.363011334,9.06E-05,2.97E-08,171.0166531,1.36E-14,0.357336366,8.51E-05,2.35E-08,107.8991834,-0.08079721,0.001700263,145.0099963,-0.087451525,0.001654577
