ActuatorSN,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2,aps_strokeMax_um,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,sph_S1_gain,sph_S1_OOVreg,sph_S2_gain,sph_S2_OOVreg,sph_strokecenter_x_sensor_offset_lsb,sph_strokecenter_y_sensor_offset_lsb
UC4D2620024Z00A5002+01AA01917+5,138.5502985,-0.328645826,0.001723923,169.8175968,-0.207713871,0.001655718,368.193995,2.36E-14,0.366590921,9.13E-05,2.56E-08,3.41E-15,0.343384419,8.11E-05,2.37E-08,42.294,87,42.294,82,191.0525023,185.0618684
UC4D2620011G00A5002+01AA09022+5,133.3263054,-0.106861064,0.001785767,146.9697765,-0.034929885,0.001667758,377.78689,-1.24E-14,0.367075527,8.63E-05,2.24E-08,9.16E-16,0.349660837,8.04E-05,2.08E-08,42.294,86,42.294,82,180.7216661,174.5881369
UC4D2620011J00A5002+01AA09024+5,205.4879344,-0.006689253,0.001704315,140.4594992,-0.030642852,0.001667032,378.440985,2.89E-15,0.366467585,8.98E-05,2.44E-08,-2.06E-14,0.346204077,8.36E-05,2.57E-08,42.294,86,44.8,77,184.8352542,181.9559827
UC4D262001WU00A5002+01AA04028+5,101.4669474,-0.162511438,0.001801719,176.6064529,-0.063544655,0.001645603,381.411875,-2.47E-15,0.369676262,9.19E-05,2.52E-08,1.33E-14,0.340337128,7.81E-05,2.10E-08,47.455,79,42.294,82,191.3328646,182.9739549
UC4D2620025E00A5002+01AA01932+5,142.7232571,-0.201514048,0.001631156,196.9019695,-0.097142592,0.00163971,377.456105,-2.83E-15,0.358777879,8.81E-05,2.65E-08,1.08E-14,0.350652022,8.80E-05,2.65E-08,42.294,86,42.294,82,185.0203184,183.1949244
UC4D262001FA00A5002+01AA02212+5,155.4313568,-0.177472883,0.001678556,184.5054824,-0.217483749,0.001664654,373.171695,-6.80E-15,0.36241918,8.86E-05,2.40E-08,2.78E-17,0.352451875,8.49E-05,2.58E-08,42.294,85,42.294,83,183.8332511,179.5777847
UC4D2620011L00A5002+01AA09026+5,103.1016944,-0.00153203,0.001761521,90.21495531,-0.067316984,0.00172732,382.061615,-1.43E-14,0.356664154,8.70E-05,2.48E-08,1.22E-14,0.343593665,8.48E-05,2.55E-08,42.294,86,47.455,74,185.037553,177.999986
UC4D2620011Q00A5002+01AA09030+5,126.0323792,0.13128769,0.001777236,199.0641332,-0.011457302,0.001600697,378.131065,2.25E-15,0.372027346,9.32E-05,2.68E-08,-8.49E-15,0.348268818,8.27E-05,2.64E-08,42.294,86,42.294,81,182.0233288,172.4210641
UC4D262001F800A5002+01AA02210+5,152.3652566,-0.167021992,0.001635858,151.4486017,-0.202768704,0.001629315,378.19197,-2.80E-15,0.373635763,9.02E-05,2.18E-08,-2.23E-14,0.354073397,8.66E-05,2.68E-08,42.294,86,42.294,81,182.8443551,176.0604381
UC4D262001ZV00A5002+01AA12003+5,170.1448394,-0.037364796,0.001706969,170.2373785,0.080172625,0.001701395,377.37076,-1.54E-14,0.357560583,8.60E-05,2.40E-08,-5.27E-16,0.350972455,8.33E-05,2.29E-08,42.294,86,39.928,88,187.2070895,178.0149116
UC4D262001ZX00A5002+01AA12005+5,161.803317,0.026039763,0.001676484,175.0871392,-0.042229234,0.001649253,371.60721,-9.66E-15,0.364625816,9.07E-05,2.67E-08,-2.30E-15,0.349741845,8.77E-05,2.56E-08,42.294,87,42.294,82,171.5454214,182.3802548
UC4D2620011P00A5002+01AA09029+5,172.8058158,-0.073215626,0.001714879,130.5342157,0.057596309,0.001680656,375.238695,-4.11E-15,0.370545585,9.24E-05,2.56E-08,1.28E-14,0.342501165,8.16E-05,2.46E-08,42.294,88,42.294,81,181.4690232,183.2679997
UC4D262001FB00A5002+01AA02213+5,231.6800896,-0.093505019,0.001602929,165.4091505,-0.211332504,0.00167514,375.823955,-1.89E-14,0.367653899,8.81E-05,2.14E-08,-7.99E-15,0.35765116,8.82E-05,2.76E-08,37.695,95,37.695,92,182.7860154,176.8368612
