GlobalTime,time,station,site,moduleConfig,SWversion,lotNum,Barcode,UniqueID,ActuatorSN,sph_S1_OOVreg,sph_S2_OOVreg,sph_S1_gain,sph_S2_gain,sph_strokecenter_y_sensor_offset_lsb,sph_strokecenter_x_sensor_offset_lsb,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,aps_strokeMax_um
T20230603134446,45:16.8,CLT-00001T03,5,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D184003BKVR31060+L2AA09021+0,0x00000032AF168196,LG5D184003BKVR31060+L2AA09021+0,91,81,39.928,42.294,182.9679996,194.0174531,168.5883865,-0.010891946,0.001644244,220.3602845,0.059573379,0.001491034,-1.25E-13,0.352790991,8.50E-05,2.50E-08,8.73E-14,0.375828208,9.47E-05,2.66E-08,365.6620005
T20230603134449,45:19.6,CLT-00001T02,3,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D18300MB3VR31060+L2AA01113+0,0x000000B1A2C11311,LG5D18300MB3VR31060+L2AA01113+0,88,87,42.294,39.928,185.8357971,194.760548,220.8956706,-0.293534582,0.001562695,121.7465154,-0.145723987,0.001666787,-1.05E-13,0.343748688,8.03E-05,2.34E-08,4.46E-14,0.365844204,8.98E-05,2.56E-08,362.6178347
T20230603134451,45:21.6,CLT-00001T03,6,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D18300M9XVR31060+L2AA01105+0,0x000000BC9AD1331D,LG5D18300M9XVR31060+L2AA01105+0,93,86,39.928,39.928,179.8153931,199.9502374,138.3359826,-0.107443469,0.001673984,187.868978,-0.024818481,0.001534295,6.30E-14,0.34283223,7.99E-05,2.20E-08,-6.56E-14,0.369018898,9.41E-05,2.67E-08,365.1152989
T20230603134453,45:24.3,CLT-00001T02,4,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D18300MB4VR31060+L2AA01114+0,0x000000B8B2C1531D,LG5D18300MB4VR31060+L2AA01114+0,91,85,39.928,39.928,184.3199135,186.9244853,192.5941185,0.008567876,0.001626203,118.2913504,0.045092492,0.001639489,-2.34E-14,0.349112879,8.32E-05,2.37E-08,1.70E-13,0.375016903,9.42E-05,2.74E-08,360.5848108
T20230603134454,45:24.8,CLT-00001T04,7,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D18300GJNVR31060+L2AA06726+0,0x000000DD8ED6D795,LG5D18300GJNVR31060+L2AA06726+0,84,85,42.294,42.294,182.7851032,189.2198187,165.5495654,-0.166658869,0.001587355,148.5011265,-0.21959773,0.001698999,-1.50E-13,0.354725804,8.61E-05,2.62E-08,-1.00E-13,0.356331243,8.34E-05,2.16E-08,363.4332055
T20230603134459,45:29.6,CLT-00001T04,8,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D186004Q7VR31060+L2AA01407+0,0x0000003182C50715,LG5D186004Q7VR31060+L2AA01407+0,93,84,39.928,39.928,190.8747817,192.9632834,163.6925968,-0.177578104,0.001663393,112.0352533,-0.159971253,0.001600745,2.32E-14,0.338461228,7.90E-05,2.26E-08,5.56E-14,0.37620615,9.62E-05,2.75E-08,367.3076119
T20230603134518,45:49.0,CLT-00001T01,1,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D18300MALVR31060+L2AA01128+0,0x000000BC8AD53315,LG5D18300MALVR31060+L2AA01128+0,91,84,39.928,39.928,177.193428,188.1823766,130.5953552,-0.025590018,0.001645863,87.39132504,-0.032242671,0.001583672,6.44E-14,0.352655396,8.35E-05,2.25E-08,3.45E-14,0.380567514,9.79E-05,2.87E-08,363.0722345
T20230603134523,45:53.7,CLT-00001T01,2,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D18600149VR31060+L2AA11221+0,0x000000D3BAC0249D,LG5D18600149VR31060+L2AA11221+0,89,81,39.928,42.294,182.5170122,192.667475,146.7070305,-0.036843284,0.001617221,133.3669545,-0.136063747,0.001637514,-8.85E-14,0.352862534,8.56E-05,2.50E-08,-5.57E-14,0.365207324,9.15E-05,2.71E-08,360.766028
T20230603134528,45:59.5,CLT-00001T03,5,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D186004Q8VR31060+L2AA01408+0,0x0000003992C10711,LG5D186004Q8VR31060+L2AA01408+0,96,85,37.695,39.928,178.4740617,191.4470403,102.64902,-0.028577595,0.001639889,138.0700205,-0.03755543,0.001556353,1.75E-13,0.350689711,8.21E-05,2.34E-08,-6.76E-14,0.374784187,9.38E-05,2.65E-08,358.1450877
T20230603134533,46:04.4,CLT-00001T03,6,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D184003CNVR31060+L2AA06526+0,0x0000001F8F02F592,LG5D184003CNVR31060+L2AA06526+0,88,82,39.928,39.928,181.5877709,186.0952187,106.1309749,-0.22357189,0.00160793,156.6754787,-0.218122617,0.001509926,-2.23E-14,0.362384414,8.90E-05,2.71E-08,-1.82E-13,0.388233998,0.000100007,2.79E-08,358.4927458
